requirement,story,implementationTask,testTask,acceptanceCase,targetPath
FR-001,US2,T012,T011,AC-001,Packages/BrainSpeakSources/Sources/SourceResolver.swift
FR-002,US2,T013,T011,AC-002,Packages/BrainSpeakSources/Sources/SubscriptionPolicy.swift
FR-003,US2,T014,T011,AC-003,Packages/BrainSpeakSources/Sources/ImportCoordinator.swift
FR-004,US2,T015,T011,AC-004,Packages/BrainSpeakSources/Sources/FeedRepository.swift
FR-005,US2,T016,T011,AC-005,Packages/BrainSpeakSources/Sources/YouTubeSourceAdapter.swift
FR-006,US2,T017,T011,AC-006,Packages/BrainSpeakSources/Sources/CapabilityResolver.swift
FR-007,US2,T018,T011,AC-007,Packages/BrainSpeakSources/Sources/ArchiveImportPolicy.swift
FR-008,US2,T019,T011,AC-008,Packages/BrainSpeakSources/Sources/SecretReferenceStore.swift
FR-009,US3,T022,T021,AC-009,Packages/BrainSpeakPlayback/Sources/PlaybackCoordinator.swift
FR-010,US3,T023,T021,AC-010,Packages/BrainSpeakPlayback/Sources/ChapterResolver.swift
FR-011,US3,T024,T021,AC-011,Packages/BrainSpeakPlayback/Sources/NowPlayingAdapter.swift
FR-012,US3,T025,T021,AC-012,Packages/BrainSpeakPlayback/Sources/ListeningHistory.swift
FR-013,US3,T026,T021,AC-013,Packages/BrainSpeakPlayback/Sources/QueueSnapshotStore.swift
FR-014,US1,T029,T028,AC-014,Packages/BrainSpeakIngestion/Sources/ContentAcquisition.swift
FR-015,US1,T030,T028,AC-015,Packages/BrainSpeakIngestion/Sources/SpeechAnalysisAdapter.swift
FR-016,US1,T031,T028,AC-016,Packages/BrainSpeakIngestion/Sources/MediaRevisionStore.swift
FR-017,US1,T032,T028,AC-017,Packages/BrainSpeakIngestion/Sources/CoverageCalculator.swift
FR-018,US1,T033,T028,AC-018,Packages/BrainSpeakIngestion/Sources/KnowledgeExtractor.swift
FR-019,US1,T034,T028,AC-019,Packages/BrainSpeakIngestion/Sources/TranscriptCapability.swift
FR-020,US1,T035,T028,AC-020,Packages/BrainSpeakIngestion/Sources/AnalysisJobCoordinator.swift
FR-021,US4,T038,T037,AC-021,Packages/BrainSpeakIntelligence/Sources/ChatScope.swift
FR-022,US4,T039,T037,AC-022,Packages/BrainSpeakIntelligence/Sources/EvidenceResolver.swift
FR-023,US4,T040,T037,AC-023,Packages/BrainSpeakIntelligence/Sources/AnswerPresentation.swift
FR-024,US4,T041,T037,AC-024,Packages/BrainSpeakIntelligence/Sources/ExhaustiveQueryCoordinator.swift
FR-025,US4,T042,T037,AC-025,Packages/BrainSpeakIntelligence/Sources/AnswerState.swift
FR-026,US4,T043,T037,AC-026,Packages/BrainSpeakIntelligence/Sources/AppleModelRouter.swift
FR-027,US4,T044,T037,AC-027,Packages/BrainSpeakIntelligence/Sources/ConversationMemory.swift
FR-028,US5,T056,T055,AC-028,Packages/BrainSpeakFocus/Sources/FocusProposal.swift
FR-029,US5,T057,T055,AC-029,Packages/BrainSpeakFocus/Sources/PlaybackGrant.swift
FR-030,US5,T058,T055,AC-030,Packages/BrainSpeakFocus/Sources/ResolvedPlaybackPlan.swift
FR-031,US5,T059,T055,AC-031,Packages/BrainSpeakFocus/Sources/SegmentBoundaryController.swift
FR-032,US5,T060,T055,AC-032,Packages/BrainSpeakFocus/Sources/ContextBoundaryResolver.swift
FR-033,US6,T063,T062,AC-033,Packages/BrainSpeakFocus/Sources/PersonalFocusPlanner.swift
FR-034,US6,T064,T062,AC-034,Packages/BrainSpeakFocus/Sources/FocusAutoplayPolicy.swift
FR-035,US6,T065,T062,AC-035,Packages/BrainSpeakFocus/Sources/ListeningBudget.swift
FR-036,US6,T066,T062,AC-036,Packages/BrainSpeakFocus/Sources/FocusSessionControls.swift
FR-037,US6,T067,T062,AC-037,Packages/BrainSpeakFocus/Sources/FocusPlanStore.swift
FR-038,US7,T048,T047,AC-038,Packages/BrainSpeakInterests/Sources/InterestProfile.swift
FR-039,US7,T049,T047,AC-039,Packages/BrainSpeakInterests/Sources/LearningConsent.swift
FR-040,US7,T050,T047,AC-040,Packages/BrainSpeakInterests/Sources/RecommendationExplanation.swift
FR-041,US7,T051,T047,AC-041,Packages/BrainSpeakInterests/Sources/ProfileChangeReview.swift
FR-042,US7,T052,T047,AC-042,Packages/BrainSpeakInterests/Sources/NoveltyResolver.swift
FR-043,US7,T053,T047,AC-043,Packages/BrainSpeakInterests/Sources/ProfileResetPolicy.swift
FR-044,US10,T070,T069,AC-044,Packages/BrainSpeakPersistence/Sources/DurableJobStore.swift
FR-045,US10,T071,T069,AC-045,Packages/BrainSpeakPersistence/Sources/BackgroundPolicy.swift
FR-046,US10,T072,T069,AC-046,Packages/BrainSpeakPersistence/Sources/CloudKitSyncAdapter.swift
FR-047,US10,T073,T069,AC-047,Packages/BrainSpeakPersistence/Sources/MergePolicy.swift
FR-048,US10,T074,T069,AC-048,Packages/BrainSpeakPersistence/Sources/DistributedAnalysisRequests.swift
FR-049,US10,T075,T069,AC-049,Packages/BrainSpeakPersistence/Sources/RetentionCoordinator.swift
FR-050,US8,T081,T080,AC-050,Apps/BrainSpeak/AppComposition.swift
FR-051,US8,T082,T080,AC-051,Apps/BrainSpeak/IPadWorkspace.swift
FR-052,US8,T083,T080,AC-052,Apps/BrainSpeak/MacWorkspace.swift
FR-053,US9,T089,T088,AC-053,Apps/BrainSpeakWatch/WatchFocusView.swift
FR-054,US9,T090,T088,AC-054,Apps/BrainSpeakWatch/WatchQuestionRouter.swift
FR-055,US9,T091,T088,AC-055,Apps/BrainSpeakWatch/WatchTransferCoordinator.swift
FR-056,US8,T084,T080,AC-056,Apps/BrainSpeak/BrainSpeakIntents.swift
FR-057,US8,T085,T080,AC-057,Apps/BrainSpeak/AccessibilityContract.swift
FR-058,US11,T094,T093,AC-058,Packages/BrainSpeakExport/Sources/MarkdownExporter.swift
FR-059,US11,T095,T093,AC-059,Packages/BrainSpeakExport/Sources/PublicSourceLinkPolicy.swift
FR-060,US11,T096,T093,AC-060,Packages/BrainSpeakExport/Sources/ExportTransaction.swift
FR-061,US11,T097,T093,AC-061,Packages/BrainSpeakExport/Sources/WatchExportRequest.swift
FR-062,US10,T076,T069,AC-062,Packages/BrainSpeakPersistence/Sources/UntrustedContentBoundary.swift
FR-063,US10,T077,T069,AC-063,Packages/BrainSpeakPersistence/Sources/PrivacyLogger.swift
FR-064,US10,T078,T069,AC-064,Packages/BrainSpeakPersistence/Sources/InputValidation.swift
FR-065,US4,T045,T037,AC-065,Packages/BrainSpeakIntelligence/Sources/QualityEvaluationSuite.swift
FR-066,US8,T086,T080,AC-066,Apps/BrainSpeak/SDKAndBaselineAudit.swift
FR-067,US14,T112,T111,AC-067,Packages/BrainSpeakSources/Sources/YouTubeURLResolver.swift
FR-068,US14,T114,T113,AC-068,Packages/BrainSpeakSources/Sources/ResolvedSourceSheet.swift
FR-069,US14,T116,T115,AC-069,Packages/BrainSpeakSources/Sources/ChannelFeedDiscovery.swift
FR-070,US14,T118,T117,AC-070,Packages/BrainSpeakSources/Sources/YouTubeArchiveEnumerator.swift
FR-071,US14,T120,T119,AC-071,Packages/BrainSpeakSources/Sources/ArchiveCoverageLedger.swift
FR-072,US14,T122,T121,AC-072,Packages/BrainSpeakSources/Sources/BackfillCoordinator.swift
FR-073,US14,T124,T123,AC-073,Packages/BrainSpeakSources/Sources/RSSArchiveResolver.swift
FR-074,US12,T126,T125,AC-074,Packages/BrainSpeakKnowledge/Sources/HighlightCapture.swift
FR-075,US12,T128,T127,AC-075,Packages/BrainSpeakKnowledge/Sources/HighlightStore.swift
FR-076,US12,T130,T129,AC-076,Packages/BrainSpeakKnowledge/Sources/TranscriptExportService.swift
FR-077,US12,T132,T131,AC-077,Packages/BrainSpeakKnowledge/Sources/LibrarySearchService.swift
FR-078,US12,T134,T133,AC-078,Packages/BrainSpeakKnowledge/Sources/SearchIndexLifecycle.swift
FR-079,US12,T136,T135,AC-079,Packages/BrainSpeakKnowledge/Sources/SmartSkipPolicy.swift
FR-080,US12,T138,T137,AC-080,Packages/BrainSpeakKnowledge/Sources/PipelineArtifactGraph.swift
FR-081,US12,T140,T139,AC-081,Packages/BrainSpeakKnowledge/Sources/NativeMediaCapabilities.swift
FR-082,US12,T142,T141,AC-082,Packages/BrainSpeakKnowledge/Sources/NativeTranslationAdapter.swift
FR-083,US13,T144,T143,AC-083,Apps/BrainSpeakMCP/LocalMCPBridge.swift
FR-084,US13,T146,T145,AC-084,Apps/BrainSpeakMCP/PodcastToolCatalog.swift
FR-085,US13,T148,T147,AC-085,Apps/BrainSpeakMCP/AgentDisclosurePolicy.swift
FR-086,US14,T150,T149,AC-086,Packages/BrainSpeakSources/Sources/ReanalysisPlanner.swift
FR-087,US14,T152,T151,AC-087,Packages/BrainSpeakSources/Sources/DiscoveryFailureState.swift
FR-088,US14,T154,T153,AC-088,Packages/BrainSpeakSources/Sources/ArchivePriorityPolicy.swift
FR-089,US14,T156,T155,AC-089,Packages/BrainSpeakSources/Sources/SubscriptionIdentity.swift
FR-090,US14,T158,T157,AC-090,Packages/BrainSpeakSources/Sources/ArchiveReviewSheet.swift
FR-091,US15,T160,T159,AC-091,Packages/BrainSpeakPerspective/Sources/StanceStore.swift
FR-092,US15,T162,T161,AC-092,Packages/BrainSpeakPerspective/Sources/PerspectiveConsent.swift
FR-093,US15,T164,T163,AC-093,Packages/BrainSpeakPerspective/Sources/CounterpointMatcher.swift
FR-094,US15,T166,T165,AC-094,Packages/BrainSpeakPerspective/Sources/CounterpointEvidence.swift
FR-095,US15,T168,T167,AC-095,Packages/BrainSpeakPerspective/Sources/PerspectiveDiversity.swift
FR-096,US15,T170,T169,AC-096,Packages/BrainSpeakPerspective/Sources/ArgumentRelationClassifier.swift
FR-097,US15,T172,T171,AC-097,Packages/BrainSpeakPerspective/Sources/CounterpointPlanBuilder.swift
FR-098,US15,T174,T173,AC-098,Packages/BrainSpeakPerspective/Sources/CounterpointAvailability.swift
FR-099,US15,T176,T175,AC-099,Packages/BrainSpeakPerspective/Sources/StanceRevisionPolicy.swift
FR-100,US15,T178,T177,AC-100,Packages/BrainSpeakPerspective/Sources/SensitiveTopicPolicy.swift
FR-101,US15,T180,T179,AC-101,Packages/BrainSpeakPerspective/Sources/PerspectiveFeedback.swift
FR-102,US15,T182,T181,AC-102,Packages/BrainSpeakPerspective/Sources/PerspectiveDisclosure.swift
FR-103,US16,T184,T183,AC-103,Packages/BrainSpeakKnowledgeTrail/Sources/KnowledgeSession.swift
FR-104,US16,T186,T185,AC-104,Packages/BrainSpeakKnowledgeTrail/Sources/SessionClosingCard.swift
FR-105,US16,T188,T187,AC-105,Packages/BrainSpeakKnowledgeTrail/Sources/FollowUpSourceCount.swift
FR-106,US16,T190,T189,AC-106,Packages/BrainSpeakKnowledgeTrail/Sources/DeepenCoordinator.swift
FR-107,US16,T192,T191,AC-107,Packages/BrainSpeakKnowledgeTrail/Sources/TrailExportBuilder.swift
FR-108,US16,T194,T193,AC-108,Packages/BrainSpeakKnowledgeTrail/Sources/TrailDiscardPolicy.swift
FR-109,US16,T196,T195,AC-109,Packages/BrainSpeakKnowledgeTrail/Sources/KnowledgeGraphStore.swift
FR-110,US16,T198,T197,AC-110,Packages/BrainSpeakKnowledgeTrail/Sources/GraphCurationPolicy.swift
FR-111,US16,T200,T199,AC-111,Packages/BrainSpeakKnowledgeTrail/Sources/GraphRevisionStore.swift
FR-112,US16,T202,T201,AC-112,Packages/BrainSpeakKnowledgeTrail/Sources/ParkCommitCoordinator.swift
FR-113,US16,T204,T203,AC-113,Packages/BrainSpeakKnowledgeTrail/Sources/SessionBoundaryPolicy.swift
FR-114,US16,T206,T205,AC-114,Packages/BrainSpeakKnowledgeTrail/Sources/TrailSyncPolicy.swift
FR-115,US16,T208,T207,AC-115,Packages/BrainSpeakKnowledgeTrail/Sources/BreadcrumbPlatformPresentation.swift
FR-116,US16,T210,T209,AC-116,Packages/BrainSpeakKnowledgeTrail/Sources/SessionOutroPresentation.swift
FR-117,US16,T212,T211,AC-117,Packages/BrainSpeakKnowledgeTrail/Sources/KnowledgeOutcomeMetrics.swift
FR-118,US16,T214,T213,AC-118,Packages/BrainSpeakKnowledgeTrail/Sources/ParkedQuestionPolicy.swift
FR-119,US16,T216,T215,AC-119,Packages/BrainSpeakKnowledgeTrail/Sources/GraphDeletionPolicy.swift
FR-120,US16,T218,T217,AC-120,Packages/BrainSpeakKnowledgeTrail/Sources/GraphActionPolicy.swift
FR-121,US17,T220,T219,AC-121,Packages/BrainSpeakSmartFeeds/Sources/FeedStore.swift
FR-122,US17,T222,T221,AC-122,Packages/BrainSpeakSmartFeeds/Sources/FeedProfilePolicy.swift
FR-123,US17,T224,T223,AC-123,Packages/BrainSpeakSmartFeeds/Sources/FeedScope.swift
FR-124,US17,T226,T225,AC-124,Packages/BrainSpeakSmartFeeds/Sources/PersonalEpisodePublisher.swift
FR-125,US17,T228,T227,AC-125,Packages/BrainSpeakSmartFeeds/Sources/EpisodeShownotesBuilder.swift
FR-126,US17,T230,T229,AC-126,Packages/BrainSpeakSmartFeeds/Sources/UnheardBacklogPlanner.swift
FR-127,US17,T232,T231,AC-127,Packages/BrainSpeakSmartFeeds/Sources/EpisodeSnapshotStore.swift
FR-128,US18,T234,T233,AC-128,Packages/BrainSpeakSmartFeeds/Sources/EpisodeFocusMode.swift
FR-129,US18,T236,T235,AC-129,Packages/BrainSpeakSmartFeeds/Sources/PersonalEpisodePlaybackGate.swift
FR-130,US19,T238,T237,AC-130,Packages/BrainSpeakSmartFeeds/Sources/ListeningLedger.swift
FR-131,US19,T240,T239,AC-131,Packages/BrainSpeakSmartFeeds/Sources/CrossFeedConsumptionPolicy.swift
FR-132,US19,T242,T241,AC-132,Packages/BrainSpeakSmartFeeds/Sources/UnheardSegmentResolver.swift
FR-133,US19,T244,T243,AC-133,Packages/BrainSpeakSmartFeeds/Sources/HistoryFilterPolicy.swift
FR-134,US18,T246,T245,AC-134,Packages/BrainSpeakSmartFeeds/Sources/VirtualTimeline.swift
FR-135,US18,T248,T247,AC-135,Packages/BrainSpeakSmartFeeds/Sources/OriginalAudioPolicy.swift
FR-136,US18,T250,T249,AC-136,Packages/BrainSpeakSmartFeeds/Sources/PersonalEpisodeInspector.swift
FR-137,US19,T252,T251,AC-137,Packages/BrainSpeakSmartFeeds/Sources/SmartFeedSync.swift
FR-138,US17,T254,T253,AC-138,Packages/BrainSpeakSmartFeeds/Sources/PersonalEpisodeInvalidation.swift
FR-139,US20,T256,T255,AC-139,Packages/BrainSpeakSmartFeeds/Sources/CoverArtworkCoordinator.swift
FR-140,US20,T258,T257,AC-140,Packages/BrainSpeakSmartFeeds/Sources/NativeCoverRenderer.swift
FR-141,US20,T260,T259,AC-141,Packages/BrainSpeakSmartFeeds/Sources/CoverAssetStore.swift
FR-142,US17,T262,T261,AC-142,Packages/BrainSpeakSmartFeeds/Sources/SmartFeedPresentation.swift
FR-143,US17,T264,T263,AC-143,Packages/BrainSpeakSmartFeeds/Sources/PersonalEpisodeExporter.swift
FR-144,US17,T266,T265,AC-144,Packages/BrainSpeakSmartFeeds/Sources/SmartFeedEndToEnd.swift
